ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
178780,유테크,KOSDAQ,관리종목(소속부없음),1730,0,0,0,0,0,0,0,60240302320,35
221800,유투바이오,KONEX,일반기업부,27500,0,0,25500,27500,25000,0,3405300,69451525000,3
179900,유티아이,KOSDAQ,벤처기업부,24200,-50,-0.21,24300,24450,23800,0,350177900,3.94E+11,16
263050,유틸렉스,KOSDAQ,기술성장기업부,6540,60,0.93,6470,6750,6440,0,2188020200,2.40E+11,37
100,유한양행,KOSPI,,53000,-400,-0.75,53200,53400,52700,0,4985955300,4.06E+12,77
105,유한양행우,KOSPI,,52700,-500,-0.94,52800,53300,52700,0,3219200,62235538000,1
3460,유화증권,KOSPI,,2385,-40,-1.65,2400,2420,2370,0,13930480,1.35E+11,57
3465,유화증권우,KOSPI,,2470,15,0.61,2470,2470,2470,0,106210,43166769750,17
191410,육일씨엔에쓰,KOSDAQ,중견기업부,2800,0,0,2800,2880,2785,0,13576340,27238461600,10
372170,윤성에프앤씨,KOSDAQ,기술성장기업부,52700,2000,3.94,51200,57400,50700,0,24875271200,4.20E+11,8
8730,율촌화학,KOSPI,,40700,150,0.37,40750,41200,40250,0,1750002550,1.01E+12,25
72770,율호,KOSDAQ,중견기업부,1615,-17,-1.04,1632,1640,1610,0,137133782,89174012805,55
8250,이건산업,KOSPI,,7920,-50,-0.63,7970,7980,7860,0,165512900,86744869200,11
39020,이건홀딩스,KOSDAQ,우량기업부,3525,5,0.14,3520,3545,3510,0,48419380,79611099225,23
25820,이구산업,KOSPI,,3215,-45,-1.38,3260,3285,3205,0,538047870,1.08E+11,33
67920,이글루,KOSDAQ,벤처기업부,6900,90,1.32,6740,6940,6660,0,511495320,75873221100,11
