itemCode,stockItemName,marketSegmentation,presence,closingPrice,prepare,fluctuationRate,openPrice,highPrice,lowPrice,tradingVolume,transactionAmount,marketCap,numberOfListedShares
5680,삼영전자,KOSPI,,9480,-60,-0.63,9520,9540,9450,6442,61,189600,20000000
3720,삼영화학,KOSPI,,2795,-15,-0.53,2810,2825,2745,37574,105,95030,34000000
23000,삼원강재,KOSPI,,2825,0,0,2825,2850,2810,2663,8,113000,40000000
4380,삼익THK,KOSPI,,12680,-260,-2.01,12910,12910,12610,40499,514,266280,21000000
2450,삼익악기,KOSPI,,1325,-2,-0.15,1332,1332,1314,45769,61,119953,90530915
32280,삼일,KOSDAQ,중견기업부,2020,-20,-0.98,2040,2045,2015,18016,37,32751,16213590
2290,삼일기업공사,KOSDAQ,중견기업부,3655,-10,-0.27,3675,3805,3630,52540,195,45322,12400000
4440,삼일씨엔에스,KOSPI,,5820,-60,-1.02,5860,5900,5810,4085,24,74100,12731947
520,삼일제약,KOSPI,,8370,-80,-0.95,8450,8450,8320,17937,150,114790,13714450
9770,삼정펄프,KOSPI,,24950,0,0,24900,25000,24900,320,8,62374,2499971
37460,삼지전자,KOSDAQ,우량기업부,8640,-110,-1.26,8740,8740,8620,8757,76,140992,16318522
32750,삼진,KOSDAQ,우량기업부,7400,-250,-3.27,7640,7640,7340,47840,356,53280,7200000
54090,삼진엘앤디,KOSDAQ,벤처기업부,2860,0,0,2820,2885,2820,99886,286,71383,24959232
5500,삼진제약,KOSPI,,24250,-150,-0.61,24500,24550,24250,19927,485,337075,13900000
250,삼천당제약,KOSDAQ,중견기업부,50900,-200,-0.39,51200,52500,50300,178257,9110,1158893,22768041
4690,삼천리,KOSPI,,472500,-2500,-0.53,481000,481000,469500,10662,5024,1915999,4055025
24950,삼천리자전거,KOSDAQ,우량기업부,8710,-190,-2.13,8850,8880,8690,53121,465,115613,13273577
38500,삼표시멘트,KOSDAQ,우량기업부,3535,-40,-1.12,3530,3580,3490,53721,189,381484,107916306
17480,삼현철강,KOSDAQ,우량기업부,5000,0,0,5000,5040,4985,5432,27,78514,15702890
10960,삼호개발,KOSPI,,3850,-30,-0.77,3890,3890,3850,7773,30,96250,25000000
46390,삼화네트웍스,KOSDAQ,중견기업부,3225,-45,-1.38,3245,3260,3170,196461,631,139233,43172933
4450,삼화왕관,KOSPI,,40500,-50,-0.12,40700,41000,40400,393,16,87252,2154379
9470,삼화전기,KOSPI,,15750,-380,-2.36,16030,16030,15750,5196,82,104168,6613820
11230,삼화전자,KOSPI,,2915,-15,-0.51,2900,2965,2895,14817,43,35279,12102700
1820,삼화콘덴서,KOSPI,,39500,-600,-1.5,40050,40050,39250,12900,509,410603,10395000
390,삼화페인트,KOSPI,,6090,-50,-0.81,6150,6150,6050,20655,126,165669,27203469
27580,상보,KOSDAQ,중견기업부,1397,13,0.94,1384,1411,1375,125553,175,82676,59181279
38540,상상인,KOSDAQ,우량기업부,6050,-170,-2.73,6220,6220,6030,82041,499,334736,55328313
101000,상상인인더스트리,KOSDAQ,중견기업부,563,-7,-1.23,570,570,561,17635,10,40396,71750792
415580,상상인제3호스팩,KOSDAQ,SPAC(소속부없음),2015,0,0,2015,2020,2015,3351,7,10700,5310000
1290,상상인증권,KOSPI,,871,8,0.93,864,881,859,201207,174,94362,108337120
41650,상신브레이크,KOSPI,,3455,-15,-0.43,3470,3470,3435,5658,20,74184,21471450
91580,상신이디피,KOSDAQ,우량기업부,17910,210,1.19,17660,18270,17590,160256,2887,244081,13628219
263810,상신전자,KOSDAQ,중견기업부,3320,-30,-0.9,3320,3345,3310,5092,17,47292,14244718
89980,상아프론테크,KOSDAQ,우량기업부,33700,0,0,33750,34550,33500,96149,3265,538831,15989037
42940,상지카일룸,KOSDAQ,중견기업부,477,-10,-2.05,488,489,470,231639,111,44950,94234439
42600,새로닉스,KOSDAQ,우량기업부,18630,160,0.87,18400,18650,18160,11972,220,231451,12423574
75180,새론오토모티브,KOSPI,,4950,30,0.61,4875,4960,4875,120,1,95040,19200000
107600,새빗켐,KOSDAQ,벤처기업부,99700,700,0.71,97600,101600,97600,168413,16800,484696,4861545
252990,샘씨엔에스,KOSDAQ,기술성장기업부,4825,-55,-1.13,4830,4850,4745,48861,233,241992,50153846
7540,샘표,KOSPI,,53000,2600,5.16,50400,53400,50400,52847,2786,152417,2875800
248170,샘표식품,KOSPI,,34550,600,1.77,33950,34650,33900,9937,342,157834,4568286
378800,샤페론,KOSDAQ,기술성장기업부,7410,-120,-1.59,7470,7630,7410,836831,6302,168035,22676781
294630,서남,KOSDAQ,기술성장기업부,2180,35,1.63,2160,2205,2140,11946,26,46628,21389160
38070,서린바이오,KOSDAQ,우량기업부,12440,90,0.73,12300,12510,12270,30903,383,105748,8500676
